,stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding,geometry,routes
367,01228,,MAYFIELD RD & WARRENSVILLE CTR RD,,41.520607,-81.53751,,,0,,0,POINT (-81.53751 41.520607),
368,01229,,ROCKY RIVER DR & CHATFIELD AV,,41.446534,-81.817912,,,0,,0,POINT (-81.817912 41.446534),
369,01242,,ROCKY RIVER DR & LARCHWOOD AV,,41.444515,-81.818578,,,0,,0,POINT (-81.818578 41.444515),
370,01257,,PEARL RD & BROADVIEW RD,,41.441959,-81.704575,,,0,,0,POINT (-81.704575 41.441959),
371,01258,,ROCKY RIVER DR & VALLEY VIEW AV,,41.441591,-81.819431,,,0,,0,POINT (-81.819431 41.441591),
372,01269,,ROCKSIDE RD & LOMBARDO CENTER,,41.400035,-81.663098,,,0,,0,POINT (-81.663098 41.400035),
373,01270,,4224 MONTICELLO BLVD,,41.537579,-81.5289,,,0,,0,POINT (-81.5289 41.537579),
374,01274,,ROCKSIDE RD & LOMBARDO CENTER,,41.400216,-81.664102,,,0,,0,POINT (-81.664102 41.400216),
375,01283,,4323 CLARKWOOD PKWY,,41.44255,-81.524295,,,0,,0,POINT (-81.524295 41.44255),
376,01284,,4323 CLARKWOOD PKWY,,41.442646,-81.523548,,,0,,0,POINT (-81.523548 41.442646),
377,01290,,MAYFIELD RD & SHEFFIELD RD,,41.520393,-81.5232,,,0,,0,POINT (-81.5232 41.520393),
378,01295,,PEARL RD & WOBURN AV,,41.436382,-81.708994,,,0,,0,POINT (-81.708994 41.436382),
379,01300,,WARNER RD & CONNECTICUT AV,,41.439121,-81.627804,,,0,,0,POINT (-81.627804 41.439121),
380,01301,,4415 BROOKPARK RD,,41.418767,-81.715734,,,0,,0,POINT (-81.715734 41.418767),
381,01306,,E 143RD ST & MAPLEROW AV,,41.438345,-81.581847,,,0,,0,POINT (-81.581847 41.438345),
382,01309,,4440 GRANADA BLVD,,41.439532,-81.520737,,,0,,0,POINT (-81.520737 41.439532),
383,01310,,4440 WARRENSVILLE CTR RD,,41.438144,-81.536,,,0,,0,POINT (-81.536 41.438144),
384,01311,,4440 WARRENSVILLE CTR RD,,41.438258,-81.536167,,,0,,0,POINT (-81.536167 41.438258),
385,01320,,WARNER RD & VINEYARD AV,,41.436799,-81.629185,,,0,,0,POINT (-81.629185 41.436799),
386,01326,,4510 WARRENSVILLE CTR RD,,41.436891,-81.536184,,,0,,0,POINT (-81.536184 41.436891),
387,01327,,4510 WARRENSVILLE CTR RD,,41.436311,-81.535952,,,0,,0,POINT (-81.535952 41.436311),
388,01328,,4512 PAYNE AV,,41.511622,-81.655244,,,0,,0,POINT (-81.655244 41.511622),
389,01330,,4521 GRANADA BLVD,,41.437353,-81.520748,,,0,,0,POINT (-81.520748 41.437353),
390,01334,,GRAYTON RD & CYCLONE DR,,41.432013,-81.838794,,,0,,0,POINT (-81.838794 41.432013),
391,01335,,MONTICELLO BLVD & AZALEA DR,,41.539356,-81.514195,,,0,,0,POINT (-81.514195 41.539356),"('51',)"
392,01338,,MONTICELLO BLVD & CRESTVIEW CT,,41.539264,-81.514446,,,0,,0,POINT (-81.514446 41.539264),
393,01351,,4621 E 177TH ST,,41.433878,-81.554115,,,0,,0,POINT (-81.554115 41.433878),
394,01352,,4614 E 131ST ST,,41.43432,-81.592846,,,0,,0,POINT (-81.592846 41.43432),
395,01359,,4671 COUNTRY LN,,41.432897,-81.49095,,,0,,0,POINT (-81.49095 41.432897),
396,01360,,4671 COUNTRY LN,,41.432835,-81.490874,,,0,,0,POINT (-81.490874 41.432835),
397,01366,,469 E 110TH ST,,41.543662,-81.608954,,,0,,0,POINT (-81.608954 41.543662),
398,01367,,GRAYTON RD & EMERALD PKWY,,41.427693,-81.84298,,,0,,0,POINT (-81.84298 41.427693),
399,01388,,4770 LEE RD,,41.429747,-81.564745,,,0,,0,POINT (-81.564745 41.429747),
400,01389,,4770 LEE RD,,41.429796,-81.564902,,,0,,0,POINT (-81.564902 41.429796),
401,01396,,4795 TIEDEMAN RD,,41.428005,-81.762083,,,0,,0,POINT (-81.762083 41.428005),
402,01398,,4800 COUNTRY LN (LAYOVER),,41.429874,-81.492203,,,0,,0,POINT (-81.492203 41.429874),
403,01406,,4816 TIEDEMAN RD,,41.427553,-81.762074,,,0,,0,POINT (-81.762074 41.427553),
404,01407,,4820 LEE RD,,41.428359,-81.564758,,,0,,0,POINT (-81.564758 41.428359),
405,01408,,MONTICELLO BLVD & ELAINE ST,,41.538863,-81.503467,,,0,,0,POINT (-81.503467 41.538863),
406,01409,,4840 HENRY ST,,41.428108,-81.599239,,,0,,0,POINT (-81.599239 41.428108),
407,01410,,4840 HENRY ST,,41.428388,-81.599516,,,0,,0,POINT (-81.599516 41.428388),
408,01423,,496 E 110TH ST,,41.543893,-81.608807,,,0,,0,POINT (-81.608807 41.543893),
409,01429,,50 SEVERANCE CIRCLE (SEVERANCE PLACE),,41.519415,-81.55222,,,0,,0,POINT (-81.55222 41.519415),
410,01430,,BABBITT RD & FOX AV,,41.603735,-81.521839,,,0,,0,POINT (-81.521839 41.603735),
411,01433,,5000 TIEDEMAN RD,,41.424082,-81.760259,,,0,,0,POINT (-81.760259 41.424082),
412,01434,,5000 TIEDEMAN RD,,41.423757,-81.760438,,,0,,0,POINT (-81.760438 41.423757),"('55',)"
413,01443,,TURNEY RD & GRACE AV,,41.420739,-81.608868,,,0,,0,POINT (-81.608868 41.420739),
414,01444,,HARVARD AV & E 53RD ST,,41.448232,-81.653188,,,0,,0,POINT (-81.653188 41.448232),
